Episodio,Reward,Ghosts,Points,Big Points,Steps
1,149.0,3,122.0,4,932
2,156.0,4,124.0,4,1292
3,152.0,3,125.0,4,1134
4,149.0,3,122.0,4,1568
5,150.0,3,123.0,4,994
6,151.0,3,124.0,4,1246
7,156.0,4,124.0,4,1294
8,156.0,4,124.0,4,1392
9,152.0,4,120.0,4,970
10,151.0,3,124.0,4,1082
11,149.0,3,122.0,4,1228
12,155.0,4,123.0,4,1062
13,149.0,3,122.0,4,956
14,151.0,3,124.0,4,1448
15,151.0,3,124.0,4,1042
16,156.0,4,124.0,4,1214
17,151.0,3,124.0,4,1234
18,148.0,3,121.0,4,998
19,154.0,4,122.0,4,1326
20,156.0,4,124.0,4,1474
21,151.0,3,124.0,4,1406
22,156.0,4,124.0,4,1478
23,151.0,3,124.0,4,1404
24,156.0,4,124.0,4,1360
25,156.0,4,124.0,4,1586
26,156.0,4,124.0,4,1426
27,156.0,4,124.0,4,1302
28,156.0,4,124.0,4,1156
29,151.0,3,124.0,4,1738
30,150.0,3,123.0,4,972
31,151.0,3,124.0,4,1330
32,151.0,3,124.0,4,1250
33,156.0,4,124.0,4,1028
34,151.0,3,124.0,4,1436
35,287.0,5,238.0,8,1704
36,151.0,3,124.0,4,1342
37,151.0,3,124.0,4,1606
38,156.0,4,124.0,4,1258
39,151.0,3,124.0,4,1208
40,151.0,3,124.0,4,1424
41,156.0,4,124.0,4,1322
42,151.0,3,124.0,4,1134
43,151.0,3,124.0,4,1554
44,150.0,3,123.0,4,1260
45,152.0,3,125.0,4,1308
46,151.0,3,124.0,4,1430
47,152.0,3,125.0,4,1532
48,156.0,4,124.0,4,1348
49,151.0,3,124.0,4,1502
50,151.0,3,124.0,4,1140
51,151.0,3,124.0,4,1236
52,151.0,3,124.0,4,1444
53,151.0,3,124.0,4,1138
54,156.0,4,124.0,4,1432
55,151.0,3,124.0,4,1226
56,151.0,3,124.0,4,1124
57,151.0,3,124.0,4,1198
58,151.0,3,124.0,4,1482
59,155.0,4,123.0,4,1240
60,151.0,3,124.0,4,1328
61,151.0,3,124.0,4,1060
62,156.0,4,124.0,4,1030
63,151.0,3,124.0,4,1326
64,151.0,3,124.0,4,1280
65,277.0,4,236.0,7,1874
66,156.0,4,124.0,4,1092
67,151.0,3,124.0,4,1222
68,151.0,3,124.0,4,1244
69,150.0,3,123.0,4,906
70,307.0,7,248.0,8,2020
71,156.0,4,124.0,4,1398
72,150.0,3,123.0,4,1140
73,156.0,4,124.0,4,1462
74,151.0,3,124.0,4,1234
75,156.0,4,124.0,4,1610
76,151.0,3,124.0,4,1618
77,151.0,3,124.0,4,1236
78,150.0,3,123.0,4,1116
79,151.0,3,124.0,4,1266
80,151.0,3,124.0,4,1012
81,151.0,3,124.0,4,1230
82,151.0,3,124.0,4,1038
83,156.0,4,124.0,4,1384
84,151.0,3,124.0,4,1240
85,151.0,3,124.0,4,1406
86,151.0,3,124.0,4,1364
87,151.0,3,124.0,4,1434
88,151.0,3,124.0,4,1318
89,150.0,3,123.0,4,1066
90,156.0,4,124.0,4,1408
91,156.0,4,124.0,4,1402
92,156.0,4,124.0,4,1138
93,150.0,3,123.0,4,1192
94,156.0,4,124.0,4,1510
95,153.0,4,121.0,4,964
96,156.0,4,124.0,4,1468
97,151.0,3,124.0,4,1576
98,151.0,3,124.0,4,1060
99,155.0,4,123.0,4,1856
100,151.0,3,124.0,4,1400
